Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
5/2/2022 1:31,,UTC-05:00,84,48,74,35.1,98.07,,,,,5/2/2022 1:31,5/2/2022 8:15,76,14.1,360,404,110,81,169,44,473,5,89
4/30/2022 22:52,5/2/2022 1:31,UTC-05:00,36,59,53,34.9,97.69,10.5,1927,164,68,4/30/2022 22:52,5/1/2022 7:26,98,14.5,473,514,255,82,136,41,481,8,92
4/29/2022 22:14,4/30/2022 22:52,UTC-05:00,97,50,78,34.18,98.28,11.9,1920,172,64,4/29/2022 22:14,4/30/2022 6:40,97,13.9,448,506,221,95,132,58,464,5,88
4/28/2022 22:38,4/29/2022 22:14,UTC-05:00,60,50,62,32.99,98.95,6.6,1530,142,62,4/28/2022 22:38,4/29/2022 7:54,98,13.7,505,556,234,121,150,51,517,45,91
4/27/2022 22:51,4/28/2022 22:38,UTC-05:00,76,51,70,34.5,98.58,11.6,1961,154,68,4/27/2022 22:51,4/28/2022 6:17,80,13.5,405,439,216,71,118,34,508,32,92
4/26/2022 23:29,4/27/2022 22:51,UTC-05:00,84,49,71,34.5,96.95,12.6,1761,169,63,4/26/2022 23:29,4/27/2022 7:25,89,13.7,444,476,138,92,214,32,500,23,93
4/25/2022 22:26,4/26/2022 23:29,UTC-05:00,63,50,64,34.7,99.12,12.7,2053,172,66,4/25/2022 22:26,4/26/2022 6:32,92,14.1,465,485,220,93,152,20,505,38,96
4/24/2022 22:23,4/25/2022 22:26,UTC-05:00,41,50,55,34.69,97.97,10.4,1825,159,63,4/24/2022 22:23,4/25/2022 6:38,83,14.4,440,495,133,130,177,55,529,45,89
4/23/2022 23:37,4/24/2022 22:23,UTC-05:00,66,47,65,34.4,97.78,14.1,2140,173,67,4/23/2022 23:37,4/24/2022 7:01,80,13.9,396,444,178,70,148,48,493,17,89
4/22/2022 22:59,4/23/2022 23:37,UTC-05:00,57,48,61,34.6,99,12.5,1941,179,62,4/22/2022 22:59,4/23/2022 6:57,94,14.1,441,476,171,95,175,35,471,0,92
4/21/2022 22:11,4/22/2022 22:59,UTC-05:00,65,50,64,34.3,98.84,11.6,1925,176,67,4/21/2022 22:11,4/22/2022 7:05,100,13.8,503,533,169,115,219,30,492,34,94
4/20/2022 22:26,4/21/2022 22:11,UTC-05:00,92,48,76,34.5,97.83,5.8,1493,126,61,4/20/2022 22:26,4/21/2022 6:22,88,13.5,451,473,181,93,177,22,515,58,95
4/20/2022 0:34,4/20/2022 22:26,UTC-05:00,77,46,68,34.8,97.84,5.6,1364,128,59,4/20/2022 0:34,4/20/2022 8:28,80,13.6,413,473,156,93,164,60,515,49,87
4/18/2022 22:52,4/20/2022 0:34,UTC-05:00,47,48,58,34.3,97.83,10,1879,163,62,4/18/2022 22:52,4/19/2022 6:55,83,14.2,439,477,168,123,148,38,528,54,92
4/17/2022 22:28,4/18/2022 22:52,UTC-05:00,40,49,55,34.7,97.63,12.2,1848,179,63,4/17/2022 22:28,4/18/2022 5:17,76,14.2,386,406,124,87,175,20,505,43,95
4/16/2022 21:50,4/17/2022 22:28,UTC-05:00,65,47,64,33.9,98.45,8.5,1694,164,64,4/16/2022 21:50,4/17/2022 6:49,85,13.9,502,540,192,118,192,38,590,133,93
4/16/2022 5:39,4/16/2022 21:50,UTC-05:00,50,51,64,34.07,96.79,5.1,1012,123,61,4/16/2022 5:39,4/16/2022 9:12,41,14.6,194,213,100,37,57,19,479,20,93
4/14/2022 23:09,4/16/2022 5:39,UTC-05:00,71,48,70,34.37,98.13,7.1,1958,147,62,4/14/2022 23:09,4/15/2022 7:12,91,14,434,476,171,106,157,42,479,0,91
4/13/2022 23:08,4/14/2022 23:09,UTC-05:00,73,48,71,34.6,96.44,13.3,2046,171,63,4/13/2022 23:08,4/14/2022 7:47,100,14,489,518,177,120,192,29,472,13,94
4/12/2022 22:50,4/13/2022 23:08,UTC-05:00,83,49,83,34.5,98.21,7.1,1603,145,65,4/12/2022 22:50,4/13/2022 7:04,94,14.4,461,494,167,117,177,33,490,0,93
4/12/2022 0:00,4/12/2022 22:50,UTC-05:00,,,,,,2.5,532,123,62,,,,,,,,,,,,,
3/9/2022 21:53,3/10/2022 21:53,UTC-06:00,94,51,83,35.1,97.3,6.8,1428,147,73,3/9/2022 21:53,3/10/2022 5:00,81,14.3,385,426,143,84,158,41,473,0,91
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,76,50,66,34.8,96.97,12.1,1785,186,66,3/8/2022 22:07,3/9/2022 7:02,100,14.1,491,534,217,90,184,43,486,14,92
3/7/2022 21:57,3/8/2022 22:07,UTC-06:00,53,52,55,34.93,97.63,11.6,1873,171,66,3/7/2022 21:57,3/8/2022 7:00,95,14.3,493,543,214,127,152,50,519,56,91
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,60,58,60,35.27,98.94,9.1,1469,155,66,3/7/2022 2:18,3/7/2022 9:11,75,14.3,384,413,198,80,106,29,511,45,93
3/5/2022 23:03,3/7/2022 2:18,UTC-06:00,70,54,64,34.8,98.64,10.1,1947,166,69,3/5/2022 23:03,3/6/2022 6:51,80,14.2,428,467,131,106,191,39,533,46,91
3/4/2022 23:15,3/5/2022 23:03,UTC-06:00,54,49,56,34.8,97.77,14.5,2161,175,70,3/4/2022 23:15,3/5/2022 7:08,84,14.1,426,474,196,87,143,48,506,32,90
3/3/2022 22:29,3/4/2022 23:15,UTC-06:00,77,50,67,35,98.71,12.1,1895,168,65,3/3/2022 22:29,3/4/2022 6:49,89,14,466,497,189,94,183,31,522,54,94
3/2/2022 21:53,3/3/2022 22:29,UTC-06:00,55,53,59,34.9,97.94,10.6,1845,157,65,3/2/2022 21:53,3/3/2022 4:37,76,14.4,378,403,205,73,100,25,499,43,94
3/2/2022 0:20,3/2/2022 21:53,UTC-06:00,12,74,29,35.6,96.75,4.6,1278,117,70,3/2/2022 0:20,3/2/2022 9:15,81,13.9,484,534,186,95,203,50,600,133,90
3/1/2022 2:02,3/2/2022 0:20,UTC-06:00,38,47,62,,97.75,10.1,1688,145,76,3/1/2022 2:02,3/1/2022 6:02,41,14.3,210,232,110,30,70,22,508,38,91
2/27/2022 22:27,3/1/2022 2:02,UTC-06:00,89,47,73,34.8,98.64,11.2,2099,152,65,2/27/2022 22:27,2/28/2022 6:14,83,13.5,421,466,170,84,167,45,508,43,90
2/27/2022 0:00,2/27/2022 22:27,UTC-06:00,92,49,74,34.7,98.63,9.8,1642,163,63,2/27/2022 0:00,2/27/2022 7:23,81,13.9,407,443,127,111,169,36,501,22,92
2/25/2022 21:57,2/27/2022 0:00,UTC-06:00,75,51,69,34.8,99.27,13,2281,149,71,2/25/2022 21:57,2/26/2022 6:22,90,14.2,433,503,190,102,141,70,483,14,86
2/24/2022 21:57,2/25/2022 21:57,UTC-06:00,59,48,62,34.71,99,11,1748,175,62,2/24/2022 21:57,2/25/2022 7:03,95,13.8,499,545,144,114,241,46,525,68,91
2/23/2022 21:42,2/24/2022 21:57,UTC-06:00,56,47,62,34.9,97.73,5.5,1506,150,60,2/23/2022 21:42,2/24/2022 4:08,70,13.8,349,386,134,75,140,37,498,17,91
2/22/2022 22:35,2/23/2022 21:42,UTC-06:00,78,47,69,34.43,97.1,13.5,1983,179,65,2/22/2022 22:35,2/23/2022 6:32,94,13.8,431,476,128,91,212,45,460,0,91
2/21/2022 21:26,2/22/2022 22:35,UTC-06:00,78,50,67,35.1,98.86,7.7,1668,157,64,2/21/2022 21:26,2/22/2022 6:25,100,14,493,536,235,98,160,43,485,5,92
2/20/2022 22:05,2/21/2022 21:26,UTC-06:00,83,48,68,34.8,98.44,13.2,1886,185,64,2/20/2022 22:05,2/21/2022 6:31,98,14,453,505,158,108,187,52,461,0,89
2/19/2022 21:42,2/20/2022 22:05,UTC-06:00,69,51,64,35,98.82,8.5,1677,180,63,2/19/2022 21:42,2/20/2022 6:50,100,13.9,510,546,208,119,183,36,489,14,93
2/18/2022 22:54,2/19/2022 21:42,UTC-06:00,88,49,72,35,97.76,12.3,1764,173,63,2/18/2022 22:54,2/19/2022 7:00,95,13.7,453,484,212,92,149,31,479,20,93
2/17/2022 21:17,2/18/2022 22:54,UTC-06:00,93,53,74,34.96,97.2,6.7,1657,142,61,2/17/2022 21:17,2/18/2022 5:14,93,14.1,439,477,220,81,138,38,474,0,92
2/16/2022 21:33,2/17/2022 21:17,UTC-06:00,65,52,59,34.7,98.84,12.3,1984,177,64,2/16/2022 21:33,2/17/2022 6:42,100,14.2,506,549,305,84,117,43,504,43,92
2/15/2022 22:01,2/16/2022 21:33,UTC-06:00,55,51,58,34.45,98.22,7.7,1602,139,62,2/15/2022 22:01,2/16/2022 5:59,85,14.2,444,477,212,71,161,33,524,43,93
2/14/2022 21:27,2/15/2022 22:01,UTC-06:00,71,50,65,34.57,98.92,13.5,1995,185,65,2/14/2022 21:27,2/15/2022 5:59,85,13.8,459,512,161,105,193,53,544,69,90
2/14/2022 2:01,2/14/2022 21:27,UTC-06:00,82,55,73,34.93,97.94,12.2,1619,176,70,2/14/2022 2:01,2/14/2022 9:19,76,14.2,410,438,180,96,134,28,543,74,93
2/13/2022 1:06,2/14/2022 2:01,UTC-06:00,24,67,43,35.4,98.76,10.9,1929,171,71,2/13/2022 1:06,2/13/2022 7:39,67,14,361,392,159,67,135,31,537,63,93
2/12/2022 2:01,2/13/2022 1:06,UTC-06:00,33,63,51,33.5,97.69,12,1837,169,75,2/12/2022 2:01,2/12/2022 9:19,72,13.9,382,437,174,72,136,55,529,49,88
2/10/2022 23:38,2/12/2022 2:01,UTC-06:00,55,53,64,34.18,98.88,13.3,2129,188,68,2/10/2022 23:38,2/11/2022 7:35,83,13.9,436,476,138,116,182,40,527,67,93
2/9/2022 23:34,2/10/2022 23:38,UTC-06:00,45,51,59,34.9,96.88,7.8,1648,147,65,2/9/2022 23:34,2/10/2022 6:59,77,13.9,422,445,223,77,122,23,544,79,94
2/8/2022 22:05,2/9/2022 23:34,UTC-06:00,79,47,75,34.83,97.8,9.9,1814,173,66,2/8/2022 22:05,2/9/2022 4:14,65,13.8,341,369,171,83,87,28,522,43,92
2/8/2022 0:00,2/8/2022 22:05,UTC-06:00,92,49,79,34.8,97.55,13.1,1860,175,67,2/8/2022 0:00,2/8/2022 8:04,85,13.8,446,481,187,103,156,35,523,52,93
2/7/2022 1:05,2/8/2022 0:00,UTC-06:00,88,51,73,35.1,97.73,11.5,1857,151,68,2/7/2022 1:05,2/7/2022 9:02,82,13.7,434,477,151,91,192,43,531,58,91
2/6/2022 2:20,2/7/2022 1:05,UTC-06:00,74,58,70,35.3,97.47,11.7,1752,180,68,2/6/2022 2:20,2/6/2022 9:13,74,13.9,382,413,169,73,140,31,520,56,92
2/5/2022 2:49,2/6/2022 2:20,UTC-06:00,79,49,68,35.1,97.77,9.1,1701,141,68,2/5/2022 2:49,2/5/2022 9:05,75,13.7,346,372,176,62,108,26,463,0,93
2/3/2022 22:23,2/5/2022 2:49,UTC-06:00,51,51,58,35.2,96.68,9.1,1948,168,66,2/3/2022 22:23,2/4/2022 7:31,100,14,496,548,149,145,202,52,490,70,91
2/2/2022 20:18,2/3/2022 22:23,UTC-06:00,53,50,62,34.5,98,12.7,2091,172,65,2/2/2022 20:18,2/3/2022 4:14,69,14.1,405,476,176,81,148,71,585,127,85
2/2/2022 5:38,2/2/2022 20:18,UTC-06:00,16,52,54,35.58,97.13,6.4,998,128,65,2/2/2022 5:38,2/2/2022 9:59,44,14.4,226,260,98,38,90,34,520,34,86
2/1/2022 0:08,2/2/2022 5:38,UTC-06:00,77,50,67,,,14.2,2274,192,62,2/1/2022 0:08,2/1/2022 8:26,88,13.8,445,498,201,93,151,53,504,23,89
1/30/2022 22:26,2/1/2022 0:08,UTC-06:00,76,48,66,,,13.6,2201,184,64,1/30/2022 22:26,1/31/2022 7:01,92,13.6,475,515,172,102,201,40,516,52,92
1/29/2022 21:47,1/30/2022 22:26,UTC-06:00,86,49,70,,,9.3,1773,166,65,1/29/2022 21:47,1/30/2022 4:14,77,13.5,359,386,162,71,126,27,467,77,93
1/29/2022 3:17,1/29/2022 21:47,UTC-06:00,53,60,62,,,5.1,1155,128,61,1/29/2022 3:17,1/29/2022 9:36,66,13.9,336,379,164,65,107,43,511,43,89
1/27/2022 22:50,1/29/2022 3:17,UTC-06:00,88,47,70,,,10.7,2117,158,66,1/27/2022 22:50,1/28/2022 7:03,85,13.8,452,493,163,94,195,41,530,52,92
1/27/2022 0:28,1/27/2022 22:50,UTC-06:00,61,53,63,,,13,1794,197,66,1/27/2022 0:28,1/27/2022 7:31,77,13.8,395,417,188,69,138,22,516,43,94
1/25/2022 22:25,1/27/2022 0:28,UTC-06:00,47,49,57,,,11.9,1981,176,64,1/25/2022 22:25,1/26/2022 6:22,85,14.1,443,477,155,93,195,34,522,47,93
1/24/2022 22:53,1/25/2022 22:25,UTC-06:00,60,49,62,,,12.2,1853,182,63,1/24/2022 22:53,1/25/2022 6:40,79,13.4,413,461,182,92,139,48,522,58,90
1/24/2022 0:04,1/24/2022 22:53,UTC-06:00,70,48,65,,,9.3,1662,138,66,1/24/2022 0:04,1/24/2022 6:54,74,13.4,383,410,139,92,152,27,517,34,93
1/22/2022 23:20,1/24/2022 0:04,UTC-06:00,64,50,62,,,13.8,1974,184,63,1/22/2022 23:20,1/23/2022 7:25,88,13.3,457,484,180,91,186,27,520,46,94
1/21/2022 21:48,1/22/2022 23:20,UTC-06:00,80,48,68,,,12.2,1977,178,63,1/21/2022 21:48,1/22/2022 5:27,84,13.6,416,451,179,78,159,35,493,34,92
1/20/2022 21:51,1/21/2022 21:48,UTC-06:00,51,51,57,,,6.3,1528,130,61,1/20/2022 21:51,1/21/2022 6:29,88,13.6,478,517,164,89,225,39,541,61,92
1/19/2022 21:57,1/20/2022 21:51,UTC-06:00,76,47,70,,,13.4,1906,197,65,1/19/2022 21:57,1/20/2022 3:59,73,13.6,338,362,152,72,114,24,466,61,94
1/18/2022 23:12,1/19/2022 21:57,UTC-06:00,59,49,61,,,5.5,1412,135,60,1/18/2022 23:12,1/19/2022 5:49,73,13.6,373,394,130,67,176,21,511,17,95
1/17/2022 22:13,1/18/2022 23:12,UTC-06:00,58,49,60,,,15.5,2073,198,64,1/17/2022 22:13,1/18/2022 6:41,94,13.6,480,507,136,112,232,27,513,36,95
1/16/2022 21:47,1/17/2022 22:13,UTC-06:00,63,48,62,,,12.8,1855,197,62,1/16/2022 21:47,1/17/2022 5:31,84,13.5,419,463,169,78,172,44,498,29,90
1/15/2022 22:07,1/16/2022 21:47,UTC-06:00,61,48,60,,,10.9,1821,176,65,1/15/2022 22:07,1/16/2022 6:28,90,13.7,451,501,156,103,192,50,500,40,90
1/14/2022 23:34,1/15/2022 22:07,UTC-06:00,92,47,79,,,7.1,1519,145,60,1/14/2022 23:34,1/15/2022 6:22,82,13.4,376,408,177,82,117,32,461,0,92
1/13/2022 22:01,1/14/2022 23:34,UTC-06:00,63,51,61,,,8.4,1763,145,63,1/13/2022 22:01,1/14/2022 7:33,100,13.7,534,572,209,118,207,38,523,117,93
1/13/2022 0:01,1/13/2022 22:01,UTC-06:00,77,53,93,,,15,2029,179,69,1/13/2022 0:01,1/13/2022 4:14,48,13.5,243,253,121,48,74,10,504,26,97
1/11/2022 23:58,1/13/2022 0:01,UTC-06:00,51,51,57,,,12.9,1879,193,67,1/11/2022 23:58,1/12/2022 7:36,91,13.6,422,451,226,84,112,29,465,0,93
1/10/2022 22:08,1/11/2022 23:58,UTC-06:00,56,49,60,,,10,1821,180,63,1/10/2022 22:08,1/11/2022 7:51,100,13.8,543,582,203,121,219,39,523,45,93
1/9/2022 22:00,1/10/2022 22:08,UTC-06:00,51,49,59,,,13,1882,179,64,1/9/2022 22:00,1/10/2022 5:29,80,14.1,403,448,147,111,145,45,507,35,90
1/8/2022 23:22,1/9/2022 22:00,UTC-06:00,66,50,67,,,11.8,1857,172,66,1/8/2022 23:22,1/9/2022 7:35,88,13.8,458,488,197,92,169,30,520,35,93
1/8/2022 0:21,1/8/2022 23:22,UTC-06:00,73,51,71,,,14.1,2013,192,66,1/8/2022 0:21,1/8/2022 8:25,88,14.2,454,483,168,98,188,29,519,58,94
1/7/2022 1:08,1/8/2022 0:21,UTC-06:00,52,51,63,,,8,1588,162,63,1/7/2022 1:08,1/7/2022 8:23,80,13.9,398,435,145,79,174,37,498,8,91
1/5/2022 22:25,1/7/2022 1:08,UTC-06:00,91,46,74,,,14.8,2263,184,64,1/5/2022 22:25,1/6/2022 7:52,97,13.8,519,564,186,114,219,45,537,74,92
1/4/2022 22:18,1/5/2022 22:25,UTC-06:00,50,47,62,,,8.9,1691,172,64,1/4/2022 22:18,1/5/2022 5:09,67,13.5,374,411,189,71,114,37,561,79,91
1/4/2022 1:32,1/4/2022 22:18,UTC-06:00,57,51,67,,,13.7,1783,190,67,1/4/2022 1:32,1/4/2022 8:00,65,13.7,368,381,183,48,137,13,565,86,96
1/3/2022 2:44,1/4/2022 1:32,UTC-06:00,84,48,74,,,13.2,1943,193,69,1/3/2022 2:44,1/3/2022 8:20,62,13.5,312,337,89,71,152,25,503,17,93
1/1/2022 22:13,1/3/2022 2:44,UTC-06:00,91,46,73,,,14.3,2197,188,61,1/1/2022 22:13,1/2/2022 7:54,94,13.9,559,577,159,128,272,18,593,113,97
1/1/2022 1:11,1/1/2022 22:13,UTC-06:00,77,46,71,,,13.3,1608,200,63,1/1/2022 1:11,1/1/2022 5:29,50,14.1,244,257,120,50,74,13,487,17,95
12/30/2021 23:43,1/1/2022 1:11,UTC-06:00,80,47,67,,,11.1,1902,163,65,12/30/2021 23:43,12/31/2021 8:18,94,13.8,465,514,151,102,212,49,494,37,90
12/30/2021 0:36,12/30/2021 23:43,UTC-06:00,82,50,70,,,4.2,1367,116,59,12/30/2021 0:36,12/30/2021 8:11,87,13.8,419,453,172,114,133,34,481,2,92
12/28/2021 22:50,12/30/2021 0:36,UTC-06:00,71,48,66,,,13.1,1968,180,62,12/28/2021 22:50,12/29/2021 9:12,99,13.9,548,622,196,122,230,74,551,72,88
12/28/2021 1:29,12/28/2021 22:50,UTC-06:00,65,50,65,,,13,1844,180,67,12/28/2021 1:29,12/28/2021 9:07,75,14.3,417,457,132,114,171,40,557,75,91
12/27/2021 0:54,12/28/2021 1:29,UTC-06:00,58,49,60,,,13.5,2009,185,64,12/27/2021 0:54,12/27/2021 7:30,74,13.8,369,395,154,70,145,26,500,43,94
12/26/2021 2:28,12/27/2021 0:54,UTC-06:00,74,49,67,,,5.2,1386,136,63,12/26/2021 2:28,12/26/2021 10:09,85,14.2,428,461,148,104,176,33,504,17,93
12/24/2021 21:52,12/26/2021 2:28,UTC-06:00,59,49,61,,,14.5,2457,186,66,12/24/2021 21:52,12/25/2021 6:59,94,14.3,508,547,200,120,188,39,541,67,92
12/23/2021 23:57,12/24/2021 21:52,UTC-06:00,63,49,65,,,12.1,1844,173,63,12/23/2021 23:57,12/24/2021 7:47,77,14,410,469,120,125,165,59,533,74,88
12/22/2021 23:52,12/23/2021 23:57,UTC-06:00,64,50,64,,,6.3,1516,143,61,12/22/2021 23:52,12/23/2021 7:27,67,14.2,410,453,153,92,165,43,613,140,92
12/22/2021 0:11,12/22/2021 23:52,UTC-06:00,32,51,55,,,12,1904,169,70,12/22/2021 0:11,12/22/2021 3:55,38,14.4,202,223,105,37,60,21,531,52,90
12/20/2021 22:49,12/22/2021 0:11,UTC-06:00,90,45,78,,,13.2,2105,184,65,12/20/2021 22:49,12/21/2021 6:57,82,14.2,465,488,217,55,193,23,569,83,95
12/19/2021 23:18,12/20/2021 22:49,UTC-06:00,91,45,82,,,14.2,2127,181,68,12/19/2021 23:18,12/20/2021 5:32,63,14.4,340,375,156,61,123,35,539,61,91
12/18/2021 23:51,12/19/2021 23:18,UTC-06:00,83,46,71,,,12.9,1884,181,65,12/18/2021 23:51,12/19/2021 7:13,73,14.5,396,440,118,102,176,44,543,86,90
12/18/2021 4:23,12/18/2021 23:51,UTC-06:00,55,59,59,,,5.1,1206,165,64,12/18/2021 4:23,12/18/2021 10:47,62,15.1,331,383,162,69,100,52,537,54,86
12/17/2021 0:44,12/18/2021 4:23,UTC-06:00,39,53,51,,,13.8,2134,198,68,12/17/2021 0:44,12/17/2021 8:41,76,14.9,438,477,197,100,141,39,575,104,91
12/16/2021 1:54,12/17/2021 0:44,UTC-06:00,38,51,54,,,11.4,1779,174,68,12/16/2021 1:54,12/16/2021 7:06,54,14.9,292,308,142,54,96,16,544,49,94
12/14/2021 23:38,12/16/2021 1:54,UTC-06:00,84,47,71,,,15.5,2254,192,66,12/14/2021 23:38,12/15/2021 7:17,78,14.1,397,459,122,104,171,62,509,45,86
12/13/2021 22:59,12/14/2021 23:38,UTC-06:00,60,48,61,,,9.5,1773,158,65,12/13/2021 22:59,12/14/2021 6:18,80,14.6,423,436,121,119,183,13,531,56,97
12/12/2021 23:40,12/13/2021 22:59,UTC-06:00,74,48,64,,,12.3,1761,189,62,12/12/2021 23:40,12/13/2021 6:38,75,14.1,398,418,123,93,182,20,532,58,95
12/12/2021 3:19,12/12/2021 23:40,UTC-06:00,43,54,49,,,12.1,1539,181,66,12/12/2021 3:19,12/12/2021 9:43,74,14.8,345,384,146,90,109,39,465,0,89
12/10/2021 15:17,12/12/2021 3:19,UTC-06:00,40,54,53,,,9.9,2405,185,67,12/10/2021 15:17,12/11/2021 5:08,100,15,653,831,303,151,199,178,499,27,78
12/9/2021 22:25,12/10/2021 15:17,UTC-06:00,61,50,59,,,11.6,1423,188,64,12/9/2021 22:25,12/10/2021 6:17,88,14.6,437,472,181,115,141,35,494,0,92
12/8/2021 23:40,12/9/2021 22:25,UTC-06:00,75,49,66,,,15.5,2007,197,65,12/8/2021 23:40,12/9/2021 7:32,100,14.8,430,468,172,97,161,38,427,34,92
12/8/2021 1:10,12/8/2021 23:40,UTC-06:00,,,,,,12.1,1688,186,69,,,,,,,,,,,,,
12/6/2021 22:00,12/8/2021 1:10,UTC-06:00,62,49,60,,,15.3,2229,196,65,12/6/2021 22:00,12/7/2021 6:30,85,15.2,467,503,197,97,173,36,547,90,93
12/6/2021 4:03,12/6/2021 22:00,UTC-06:00,37,51,57,,,4.7,1091,133,60,12/6/2021 4:03,12/6/2021 9:27,60,15.8,289,322,109,72,108,33,479,0,90
12/4/2021 23:29,12/6/2021 4:03,UTC-06:00,34,53,54,,,13.3,2141,192,68,12/4/2021 23:29,12/5/2021 7:48,100,15.9,455,488,201,89,165,33,443,27,93
12/3/2021 21:30,12/4/2021 23:29,UTC-06:00,43,54,61,,,9.7,1850,153,71,12/3/2021 21:30,12/4/2021 5:36,88,14.9,421,486,168,93,160,65,480,17,86
12/2/2021 21:43,12/3/2021 21:30,UTC-06:00,44,55,60,,,8.8,1671,169,64,12/2/2021 21:43,12/3/2021 6:08,94,14.7,443,504,219,92,132,61,472,8,90
12/1/2021 20:57,12/2/2021 21:43,UTC-06:00,52,50,63,,,9.3,1792,150,62,12/1/2021 20:57,12/2/2021 5:46,97,14.4,486,526,186,113,187,40,500,43,92
11/30/2021 19:58,12/1/2021 20:57,UTC-06:00,75,47,74,,,5.1,1530,145,59,11/30/2021 19:58,12/1/2021 4:08,81,14.1,429,488,229,70,130,59,527,56,88
11/29/2021 21:42,11/30/2021 19:58,UTC-06:00,72,46,73,,,11.3,1741,178,66,11/29/2021 21:42,11/30/2021 4:14,75,13.7,352,392,187,69,96,40,472,0,90
11/28/2021 20:47,11/29/2021 21:42,UTC-06:00,98,46,81,,,11.7,1907,185,62,11/28/2021 20:47,11/29/2021 5:56,100,14.3,496,548,124,123,249,52,457,0,90
11/27/2021 20:24,11/28/2021 20:47,UTC-06:00,48,50,58,,,5.7,1500,128,59,11/27/2021 20:24,11/28/2021 5:30,100,14.6,490,545,198,106,186,55,485,0,90
11/26/2021 21:05,11/27/2021 20:24,UTC-06:00,80,48,73,,,14.2,2046,188,62,11/26/2021 21:05,11/27/2021 6:02,100,14.3,503,534,203,103,197,31,484,26,94
11/25/2021 22:25,11/26/2021 21:05,UTC-06:00,46,50,58,,,5.8,1431,135,60,11/25/2021 22:25,11/26/2021 6:17,91,14.6,445,471,204,82,159,26,491,0,94
11/24/2021 21:43,11/25/2021 22:25,UTC-06:00,52,51,62,,,15.1,2078,192,66,11/24/2021 21:43,11/25/2021 6:36,100,14.4,493,530,215,100,178,37,487,14,93
11/23/2021 20:15,11/24/2021 21:43,UTC-06:00,80,48,74,,,11.9,1856,190,66,11/23/2021 20:15,11/24/2021 4:59,95,14.6,497,525,187,99,211,28,521,58,95
